,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,2,0,0,3,1
true_Good,0,94,24,23,0
true_High,0,22,92,3,0
true_Moderate,0,20,3,147,10
true_Poor,0,0,0,37,13
