,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,1,1
true_Good,0,14,28,8,2
true_High,0,4,222,1,0
true_Moderate,0,12,4,21,3
true_Poor,0,1,1,7,1
