,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.6428571428571429,0.7837837837837838,0.5925925925925926,0.0,0.675,0.5048083798083798,0.6584274750941418
recall,0.75,0.7631578947368421,0.5161290322580645,0.0,0.675,0.5073217317487266,0.675
f1-score,0.6923076923076923,0.7733333333333333,0.5517241379310345,0.0,0.675,0.5043412908930149,0.6643407014441497
support,48.0,38.0,31.0,3.0,0.675,120.0,120.0
