,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,1.0,0.627906976744186,0.9434447300771208,0.7391304347826086,0.6666666666666666,0.9012875536480687,0.7954297616541164,0.8926841839445481
recall,0.8333333333333334,0.5192307692307693,0.9839142091152815,0.5862068965517241,0.6666666666666666,0.9012875536480687,0.717870374979555,0.9012875536480687
f1-score,0.9090909090909091,0.5684210526315789,0.963254593175853,0.6538461538461539,0.6666666666666666,0.9012875536480687,0.7522558750822322,0.8954247680418866
support,6.0,52.0,373.0,29.0,6.0,0.9012875536480687,466.0,466.0
