,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,1.0,0.8188202247191011,0.8944636678200693,0.7747035573122529,0.75,0.827186512118019,0.8475974899702846,0.8265508446956746
recall,0.35294117647058826,0.8449275362318841,0.9166666666666666,0.8016359918200409,0.5217391304347826,0.827186512118019,0.6875821003247925,0.827186512118019
f1-score,0.5217391304347826,0.8316690442225392,0.9054290718038529,0.7879396984924623,0.6153846153846154,0.827186512118019,0.7324323120676505,0.823819173716653
support,17.0,690.0,564.0,489.0,138.0,0.827186512118019,1898.0,1898.0
