,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,3,0,0,0,14
true_Good,0,570,65,55,0
true_High,0,47,516,1,0
true_Moderate,1,91,4,379,14
true_Poor,0,2,1,73,62
