,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,32,0,0,1,41
true_Good,0,961,133,155,0
true_High,0,148,1027,5,0
true_Moderate,1,142,7,1332,40
true_Poor,12,1,0,141,251
