,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.8011444921316166,0.8909090909090909,0.7454545454545455,0.0,0.820333041191937,0.6093770321238132,0.8139195857724519
recall,0.9150326797385621,0.8305084745762712,0.49696969696969695,0.0,0.820333041191937,0.5606277128211326,0.820333041191937
f1-score,0.8543096872616324,0.8596491228070176,0.5963636363636363,0.0,0.820333041191937,0.5775806116080715,0.811177316457321
support,612.0,354.0,165.0,10.0,0.820333041191937,1141.0,1141.0
