y_unc,cb_oof,xgb_oof,meta_oof
10.5,11.375714029447408,13.564257621765137,10.919024656366021
16.6,15.243327159423643,14.973522186279297,15.309891606512943
18.0,17.44610078119149,16.3277530670166,17.410018832744683
16.5,16.48974321919377,15.5531587600708,16.633796818173373
19.0,17.891529249609448,15.992006301879883,18.27747956000102
17.2,16.840864364567096,15.762579917907715,16.973235933546412
19.3,18.195444480981678,16.2725830078125,18.499146707220362
18.2,19.13357546107727,17.004247665405273,19.281035072773342
11.1,10.209635203995276,12.150675773620605,10.313343266410756
17.8,16.68264639692279,15.730045318603516,16.77536876973863
17.7,18.80652141329483,16.750904083251953,19.007193042936343
19.3,17.608699452859582,16.00153350830078,17.874607851047127
19.3,16.68805642129155,15.003639221191406,17.310583764243205
15.3,15.019325843575643,14.79446792602539,15.126357952686408
14.8,14.43753245845437,14.65528392791748,14.412967788783464
3.1,10.433317945629824,13.519102096557617,9.632504187698283
11.4,12.506261239585001,13.734231948852539,12.378284946005138
14.6,14.80050280559226,14.717367172241211,14.876017511701722
16.1,15.434995947987773,14.88661003112793,15.641351496583662
14.3,14.499692829471314,14.553868293762207,14.57365553566475
14.4,14.418662223732099,14.424816131591797,14.553955535962519
13.7,13.77664317181916,14.190136909484863,13.825616703662039
15.0,15.530117494432488,15.45248794555664,15.363480239839417
18.5,18.001795599724574,16.373046875,18.155071173332836
16.5,15.599611768171599,15.145411491394043,15.68382147498798
15.6,15.373887506915707,15.365619659423828,15.207862652609577
13.8,13.17384372415836,14.084451675415039,13.058486248286163
15.6,15.567965476082463,15.153254508972168,15.63382086945548
13.9,14.667814567335881,14.517523765563965,14.835419496786415
9.6,10.290381072671153,12.546520233154297,10.138854150423882
12.4,12.295126387267374,13.478800773620605,12.268241936187325
18.9,18.454913680790924,16.534744262695312,18.671967500223648
9.3,9.122047751618084,12.248968124389648,8.719363629451307
13.2,14.273792918829713,14.344524383544922,14.409465476409482
17.1,17.3965356144181,16.62689208984375,17.12334315035325
14.5,14.62287052287138,14.79067611694336,14.574089211638904
14.4,14.296490883702063,14.568846702575684,14.278300315535663
14.7,14.601365032009198,14.69797420501709,14.611318394820675
16.0,15.681739807012491,15.122858047485352,15.815179930826778
14.8,14.752263297355967,14.93941879272461,14.647191845010475
11.5,12.345302274799906,14.078289985656738,11.903034083951379
16.1,15.881846361560747,15.451181411743164,15.856836869610223
10.5,11.573421778623015,13.487639427185059,11.25146162503068
12.2,12.837492637103423,13.649031639099121,12.90388396732884
16.4,15.945094344471727,15.253742218017578,16.088796072768154
13.5,13.693245968699557,14.498405456542969,13.4849459708068
15.7,15.176482021721313,15.096887588500977,15.126701656760707
9.7,12.302999200182967,13.946962356567383,11.939204052715633
14.6,14.655294093157863,14.756006240844727,14.644664261184834
12.0,12.909479516500141,14.232748031616211,12.58066764589547
13.6,13.325826988671906,14.041178703308105,13.302689563349904
15.3,15.284238393680425,15.084583282470703,15.286494156989967
12.7,13.18370702746688,14.65383243560791,12.658712187627273
15.2,15.557701158570126,15.228339195251465,15.564911774008065
14.0,14.49984502751613,14.700868606567383,14.467091674376164
14.4,12.354544980975334,13.92077922821045,12.030384963131704
14.3,14.400913736521034,14.369235038757324,14.569480858274163
16.2,17.558027644001413,16.318117141723633,17.573711630779663
7.0,7.910405833739787,11.039920806884766,7.901327383614342
12.4,12.38937027315842,13.938272476196289,12.066432495333782
15.4,15.22849751013564,14.917593002319336,15.32975603927808
15.1,15.110489681363106,14.696532249450684,15.325121752145346
10.7,10.872335076914169,13.141157150268555,10.521640860037774
16.3,15.430463830358349,15.14333724975586,15.448527195703498
17.6,16.856790068763075,15.900140762329102,16.895610973146574
13.2,13.159722819138551,14.169708251953125,12.976789493050148
15.1,15.158648537879344,14.8336763381958,15.292924750410272
14.6,14.58990187884774,14.989837646484375,14.383268923037708
11.6,12.391546931961784,13.882500648498535,12.109990840656682
13.6,13.427491544542136,13.73040771484375,13.670751628290589
11.4,12.317875904060202,13.691082000732422,12.145895259928576
15.0,14.878306794649689,14.631600379943848,15.047238871042449
15.2,14.885439708770718,14.609220504760742,15.073480808964153
15.7,16.120592958584893,15.555936813354492,16.114982001457
12.4,12.83098095326568,13.611885070800781,12.921750079801065
13.7,14.5075803338259,14.78003978729248,14.420413080778438
15.8,16.312562291597715,15.48228931427002,16.437227566083443
13.5,13.797482917725574,14.34724235534668,13.740674568496214
15.8,15.497609509940958,14.903451919555664,15.716774723539299
14.3,14.087724316195818,14.433622360229492,14.084257922735596
15.0,15.489344205363523,15.120322227478027,15.547675046789246
12.6,12.49895180691965,14.194275856018066,12.033888925426936
14.8,14.849356459715636,14.967785835266113,14.762513705441835
13.3,14.286233734193956,14.351414680480957,14.421877244895324
12.1,11.961873624357395,13.679600715637207,11.655844723732091
14.3,14.694553995126626,14.994288444519043,14.526545137473192
10.3,10.753566627157852,13.302729606628418,10.238007625057007
13.4,13.099499155476224,14.179954528808594,12.885035947825267
13.4,13.931584474339616,14.08340072631836,14.12005907312247
15.8,18.069980126718292,16.616073608398438,18.073999176642836
15.3,15.580000971822301,15.087032318115234,15.698772080056006
14.3,14.67430626161513,14.68309497833252,14.724241314767758
18.9,18.97767605097033,16.878000259399414,19.154484177772478
18.2,17.39004736422794,15.100845336914062,18.222737694727165
14.4,15.41946981253568,14.902790069580078,15.607862743300531
13.1,12.842544781742617,13.893730163574219,12.73321459286897
19.8,18.524701697489945,16.686681747436523,18.659305023933804
12.8,11.395695571787655,13.32514476776123,11.120683005124771
15.4,14.994029338500695,14.803028106689453,15.084725890350636
17.3,17.51404324284522,15.948888778686523,17.780332270831277
17.8,16.299763232120313,15.901779174804688,16.11460359793498
12.2,12.914212204079377,14.006000518798828,12.751996314084648
18.9,18.487972941889893,16.542198181152344,18.71283494260387
14.5,14.512505647857324,14.685541152954102,14.495949517017845
17.0,16.328603014088003,14.546463966369629,17.139441461529998
10.3,12.356965040409705,13.49155044555664,12.345552791122994
14.7,14.686857488884925,14.71979808807373,14.715152459016071
17.1,15.703678788562684,15.044618606567383,15.902724656506726
14.1,13.3921901351423,14.310516357421875,13.199956180280148
14.4,13.68010614013474,14.172438621520996,13.703323919733629
13.8,13.646842368645594,14.163362503051758,13.663348491165534
15.5,15.395217207609676,14.969986915588379,15.525100062569882
17.8,17.880413819249952,16.011775970458984,18.24755822581252
15.9,15.539972033384402,15.143328666687012,15.601840924902936
15.3,15.195585562669294,14.506887435913086,15.582005596425164
15.5,17.280147666897392,16.036235809326172,17.389440535362503
8.7,10.64843574425322,12.784049987792969,10.467582648047618
15.8,13.682803771283943,14.323892593383789,13.59708855816017
17.6,16.04417441273108,14.821232795715332,16.541667356922257
15.3,14.713022621814162,14.893560409545898,14.625566581150476
15.5,15.678693530033343,15.118049621582031,15.814407960689286
15.3,15.178451987536391,14.830573081970215,15.32290297735354
