y_unc,cb_oof
10.5,11.375714029447408
16.6,15.243327159423643
18.0,17.44610078119149
16.5,16.48974321919377
19.0,17.891529249609448
17.2,16.840864364567096
19.3,18.195444480981678
18.2,19.13357546107727
11.1,10.209635203995276
17.8,16.68264639692279
17.7,18.80652141329483
19.3,17.608699452859582
19.3,16.68805642129155
15.3,15.019325843575643
14.8,14.43753245845437
3.1,10.433317945629824
11.4,12.506261239585001
14.6,14.80050280559226
16.1,15.434995947987773
14.3,14.499692829471314
14.4,14.418662223732099
13.7,13.77664317181916
15.0,15.530117494432488
18.5,18.001795599724574
16.5,15.599611768171599
15.6,15.373887506915707
13.8,13.17384372415836
15.6,15.567965476082463
13.9,14.667814567335881
9.6,10.290381072671153
12.4,12.295126387267374
18.9,18.454913680790924
9.3,9.122047751618084
13.2,14.273792918829713
17.1,17.3965356144181
14.5,14.62287052287138
14.4,14.296490883702063
14.7,14.601365032009198
16.0,15.681739807012491
14.8,14.752263297355967
11.5,12.345302274799906
16.1,15.881846361560747
10.5,11.573421778623015
12.2,12.837492637103423
16.4,15.945094344471727
13.5,13.693245968699557
15.7,15.176482021721313
9.7,12.302999200182967
14.6,14.655294093157863
12.0,12.909479516500141
13.6,13.325826988671906
15.3,15.284238393680425
12.7,13.18370702746688
15.2,15.557701158570126
14.0,14.49984502751613
14.4,12.354544980975334
14.3,14.400913736521034
16.2,17.558027644001413
7.0,7.910405833739787
12.4,12.38937027315842
15.4,15.22849751013564
15.1,15.110489681363106
10.7,10.872335076914169
16.3,15.430463830358349
17.6,16.856790068763075
13.2,13.159722819138551
15.1,15.158648537879344
14.6,14.58990187884774
11.6,12.391546931961784
13.6,13.427491544542136
11.4,12.317875904060202
15.0,14.878306794649689
15.2,14.885439708770718
15.7,16.120592958584893
12.4,12.83098095326568
13.7,14.5075803338259
15.8,16.312562291597715
13.5,13.797482917725574
15.8,15.497609509940958
14.3,14.087724316195818
15.0,15.489344205363523
12.6,12.49895180691965
14.8,14.849356459715636
13.3,14.286233734193956
12.1,11.961873624357395
14.3,14.694553995126626
10.3,10.753566627157852
13.4,13.099499155476224
13.4,13.931584474339616
15.8,18.069980126718292
15.3,15.580000971822301
14.3,14.67430626161513
18.9,18.97767605097033
18.2,17.39004736422794
14.4,15.41946981253568
13.1,12.842544781742617
19.8,18.524701697489945
12.8,11.395695571787655
15.4,14.994029338500695
17.3,17.51404324284522
17.8,16.299763232120313
12.2,12.914212204079377
18.9,18.487972941889893
14.5,14.512505647857324
17.0,16.328603014088003
10.3,12.356965040409705
14.7,14.686857488884925
17.1,15.703678788562684
14.1,13.3921901351423
14.4,13.68010614013474
13.8,13.646842368645594
15.5,15.395217207609676
17.8,17.880413819249952
15.9,15.539972033384402
15.3,15.195585562669294
15.5,17.280147666897392
8.7,10.64843574425322
15.8,13.682803771283943
17.6,16.04417441273108
15.3,14.713022621814162
15.5,15.678693530033343
15.3,15.178451987536391
10.2,11.316657235351158
10.7,10.275954331445973
14.9,14.370937805244466
13.7,13.20333115811809
13.7,13.741303122602403
15.8,15.56019458323135
13.5,13.577581679652212
9.8,9.727947923733154
12.0,10.861266090360004
12.5,12.920494417499867
10.8,10.688742823025677
14.4,14.537435638369061
12.8,11.902452197798993
12.5,12.10922529999516
13.1,14.439509900857956
18.6,18.837239323183894
12.8,13.686310629331274
14.5,14.686231877858518
14.2,18.861286007566378
17.8,18.191299843078014
14.1,14.115528683851153
13.7,13.907027657580329
15.8,15.597167841624469
13.3,12.37069096666528
14.0,12.33222209685482
12.7,12.785751264193095
13.1,13.145317060610978
14.4,13.4271876770581
12.9,12.74519919246086
14.0,13.084574008651543
16.0,17.139640676090494
17.6,14.331839300110005
14.9,14.73570003779605
14.2,13.617588491237257
12.6,13.050201984035084
14.2,14.304313320229994
8.9,8.7088922400726
6.3,6.733706482336856
12.6,12.106103461501334
13.4,14.257235537457746
13.1,12.937693997366296
14.0,13.256119567871792
12.1,11.67431270662928
15.0,15.169070924024709
12.2,10.95331095677102
14.3,14.14852958539268
12.6,13.628563541918993
14.0,14.649889702650398
17.5,17.67046788080188
16.5,15.065252814150881
15.3,15.579269786050645
19.6,17.86717208477785
15.2,14.898531621147413
8.8,8.460080211400054
16.9,17.65631938932347
11.1,15.803308830654714
19.5,18.580141778918914
17.1,17.293069729596027
14.5,14.51667466435174
18.2,16.389234421265428
13.3,13.01849336325904
18.5,17.460827771399636
12.1,12.886053273105063
17.2,15.697369689471088
12.1,12.358069240959594
14.0,13.294604759779759
10.9,11.292410354792082
12.8,12.513677639362868
15.0,14.770941476330336
12.1,11.144893852178939
11.6,12.055252289690543
