y_unc,xgb_oof
10.5,13.564257621765137
16.6,14.973522186279297
18.0,16.3277530670166
16.5,15.5531587600708
19.0,15.992006301879883
17.2,15.762579917907715
19.3,16.2725830078125
18.2,17.004247665405273
11.1,12.150675773620605
17.8,15.730045318603516
17.7,16.750904083251953
19.3,16.00153350830078
19.3,15.003639221191406
15.3,14.79446792602539
14.8,14.65528392791748
3.1,13.519102096557617
11.4,13.734231948852539
14.6,14.717367172241211
16.1,14.88661003112793
14.3,14.553868293762207
14.4,14.424816131591797
13.7,14.190136909484863
15.0,15.45248794555664
18.5,16.373046875
16.5,15.145411491394043
15.6,15.365619659423828
13.8,14.084451675415039
15.6,15.153254508972168
13.9,14.517523765563965
9.6,12.546520233154297
12.4,13.478800773620605
18.9,16.534744262695312
9.3,12.248968124389648
13.2,14.344524383544922
17.1,16.62689208984375
14.5,14.79067611694336
14.4,14.568846702575684
14.7,14.69797420501709
16.0,15.122858047485352
14.8,14.93941879272461
11.5,14.078289985656738
16.1,15.451181411743164
10.5,13.487639427185059
12.2,13.649031639099121
16.4,15.253742218017578
13.5,14.498405456542969
15.7,15.096887588500977
9.7,13.946962356567383
14.6,14.756006240844727
12.0,14.232748031616211
13.6,14.041178703308105
15.3,15.084583282470703
12.7,14.65383243560791
15.2,15.228339195251465
14.0,14.700868606567383
14.4,13.92077922821045
14.3,14.369235038757324
16.2,16.318117141723633
7.0,11.039920806884766
12.4,13.938272476196289
15.4,14.917593002319336
15.1,14.696532249450684
10.7,13.141157150268555
16.3,15.14333724975586
17.6,15.900140762329102
13.2,14.169708251953125
15.1,14.8336763381958
14.6,14.989837646484375
11.6,13.882500648498535
13.6,13.73040771484375
11.4,13.691082000732422
15.0,14.631600379943848
15.2,14.609220504760742
15.7,15.555936813354492
12.4,13.611885070800781
13.7,14.78003978729248
15.8,15.48228931427002
13.5,14.34724235534668
15.8,14.903451919555664
14.3,14.433622360229492
15.0,15.120322227478027
12.6,14.194275856018066
14.8,14.967785835266113
13.3,14.351414680480957
12.1,13.679600715637207
14.3,14.994288444519043
10.3,13.302729606628418
13.4,14.179954528808594
13.4,14.08340072631836
15.8,16.616073608398438
15.3,15.087032318115234
14.3,14.68309497833252
18.9,16.878000259399414
18.2,15.100845336914062
14.4,14.902790069580078
13.1,13.893730163574219
19.8,16.686681747436523
12.8,13.32514476776123
15.4,14.803028106689453
17.3,15.948888778686523
17.8,15.901779174804688
12.2,14.006000518798828
18.9,16.542198181152344
14.5,14.685541152954102
17.0,14.546463966369629
10.3,13.49155044555664
14.7,14.71979808807373
17.1,15.044618606567383
14.1,14.310516357421875
14.4,14.172438621520996
13.8,14.163362503051758
15.5,14.969986915588379
17.8,16.011775970458984
15.9,15.143328666687012
15.3,14.506887435913086
15.5,16.036235809326172
8.7,12.784049987792969
15.8,14.323892593383789
17.6,14.821232795715332
15.3,14.893560409545898
15.5,15.118049621582031
15.3,14.830573081970215
10.2,13.832072257995605
10.7,13.434678077697754
14.9,14.897417068481445
13.7,14.296178817749023
13.7,14.220260620117188
15.8,15.319051742553711
13.5,14.147343635559082
9.8,11.99510383605957
12.0,13.095396995544434
12.5,13.840850830078125
10.8,14.128353118896484
14.4,14.473821640014648
12.8,13.74388313293457
12.5,13.275934219360352
13.1,15.251554489135742
18.6,16.887765884399414
12.8,14.693902015686035
14.5,14.615806579589844
14.2,16.526670455932617
17.8,16.027660369873047
14.1,14.276040077209473
13.7,14.304621696472168
