,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.8314176245210728,0.84375,0.8218562874251497,0.625,0.8219037871033776,0.6244047823892445,0.8112346224561665
recall,0.0,0.7331081081081081,0.627906976744186,0.9432989690721649,0.19607843137254902,0.8219037871033776,0.5000784970594017,0.8219037871033776
f1-score,0.0,0.7791741472172352,0.72,0.8784,0.29850746268656714,0.8219037871033776,0.5352163219807605,0.8066000288365573
support,5.0,296.0,43.0,582.0,51.0,0.8219037871033776,977.0,977.0
