,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,3,2
true_Good,0,217,5,74,0
true_High,0,15,27,1,0
true_Moderate,0,29,0,549,4
true_Poor,0,0,0,41,10
