,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,1,0,0,0,0
true_Good,0,232,0,0,0
true_High,0,0,988,0,0
true_Moderate,0,0,0,86,0
true_Poor,0,0,0,0,6
