,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,5,0,0,0,30
true_Good,0,400,69,117,0
true_High,0,80,414,4,0
true_Moderate,0,76,2,877,16
true_Poor,1,1,0,91,149
