,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,2,0
true_Good,0,17,31,4,0
true_High,0,6,220,0,1
true_Moderate,0,8,9,23,0
true_Poor,0,1,1,8,0
