,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,9,0,0,2,9
true_Good,0,252,61,88,0
true_High,0,35,787,3,0
true_Moderate,1,38,3,680,7
true_Poor,0,0,0,43,51
