SamplingOperations_code,IBD_pred,region
977,13.941627914025892,18
978,15.74528327113296,18
979,13.544974065729912,18
980,14.647585948917948,18
981,15.689843490487979,18
982,14.983193140400179,18
983,14.565921887411069,18
984,14.209570575821346,18
985,11.371120677753488,18
986,11.858098602318051,18
987,14.936392794487723,18
988,15.521248523584772,18
989,15.306572110161524,18
990,14.973043790587813,18
991,15.763292849987849,18
992,16.07685209351913,18
993,15.098284198240604,18
994,15.703535233495472,18
995,15.41770388945475,18
996,17.185687246624436,18
997,16.566058122311755,18
998,17.150992676421797,18
999,16.53681630683591,18
1000,15.467251706707968,18
1001,15.550992919932966,18
1002,13.63637198776739,18
1003,15.618097798693753,18
1004,15.883341808850345,18
1005,17.494962801004036,18
1006,15.354738586834335,18
1007,15.623264058740528,18
1008,12.681134072483529,18
1009,9.354879867144795,18
1010,15.303574894060569,18
1011,14.021799002483048,18
1012,10.977143638986869,18
1013,12.102873384783733,18
1014,8.647757074178202,18
1015,10.011257196926792,18
1016,15.218526668684461,18
1017,13.549442506648715,18
1018,7.202111213982436,18
1019,12.551361639962453,18
1020,13.646912991457537,18
1021,12.942483601885986,18
1022,13.296776359790794,18
1023,14.782140974815718,18
1024,13.454804777117952,18
1025,14.064920707932034,18
1026,14.995720751774073,18
1027,14.372318761536624,18
1028,12.692261115829009,18
1029,12.592572746076138,18
1030,16.26356539991419,18
1031,16.168116226639516,18
1032,14.201571609472031,18
1033,13.923974365967469,18
1034,11.558494199451001,18
1035,11.771912120322998,18
1036,15.562798900302674,18
1037,9.587150209977475,18
1038,8.857250883596254,18
1039,13.86625124206346,18
1040,12.43413380025643,18
1041,10.935853756702949,18
1042,11.850639267553392,18
1043,12.708307390382625,18
1044,6.796239597557493,18
1045,11.945255827684376,18
1046,14.05910604573829,18
1047,12.61371257574514,18
1048,11.2677076476079,18
1049,13.790285860834956,18
1050,10.708560261716158,18
1051,10.647169485978578,18
1052,13.32830032998271,18
1053,14.69965434449652,18
1054,13.999324932698602,18
1055,13.782962911490646,18
1056,12.03477845841918,18
1057,15.601019041432435,18
1058,16.63213882058217,18
1059,11.21285835100792,18
1060,12.517881174238301,18
1061,11.925876435226595,18
1062,10.497440729951572,18
1063,13.061647364989764,18
1064,16.057841989730637,18
1065,13.960436791408327,18
1066,14.19694164830154,18
1067,13.723302328304621,18
1068,14.09336404226455,18
1069,11.151631556870244,18
1070,11.9956761132378,18
1071,9.482434847076277,18
1072,15.508885956644326,18
1073,13.500629012032796,18
1074,13.128850295709757,18
1075,12.222848535065713,18
1076,13.461086727857829,18
1077,20.120685132060352,18
1078,17.225138414870237,18
1079,18.3917315464402,18
1080,15.378439616882757,18
1081,15.932496872928038,18
1082,14.381459565226338,18
1083,13.555272743584485,18
1084,13.503514464271756,18
1085,14.56668590234875,18
1086,12.969989010284213,18
1087,12.351797641985414,18
1088,13.543023363454289,18
1089,13.054464299403875,18
1090,13.553752357232685,18
1091,14.054241124973863,18
1092,13.996830670413448,18
1093,12.137353019110035,18
1094,14.395137451323121,18
1095,13.53468298349862,18
1096,13.123465125378907,18
1097,14.473957133000553,18
1098,14.324778132723312,18
1099,14.050811503880356,18
1100,8.514676525324784,18
1101,11.761329351226596,18
1102,12.89834902363113,18
1103,12.92228828244822,18
1104,13.84750625844587,18
1105,11.691049910077346,18
1106,13.899836166137089,18
1107,13.177628568817264,18
1108,14.644549234905021,18
1109,11.88802520984136,18
1110,13.990818426256341,18
1111,13.863966788571851,18
1112,13.399308836066323,18
1113,11.38874565435246,18
1114,11.776343904617944,18
1115,14.551993185191845,18
1116,13.185850628085511,18
1117,14.015578589278247,18
1118,13.96834639340217,18
1119,12.780353395032275,18
1120,12.98435335174809,18
1121,13.007614349607325,18
1122,12.867208133919348,18
1123,14.010727097869644,18
1124,12.259682603860686,18
1125,13.116191002817267,18
1126,11.486670662329063,18
1127,11.761561025517063,18
1128,13.92915268768653,18
1129,12.739376362896344,18
1130,13.623341639849306,18
1131,13.368261914147562,18
1132,14.226770524194599,18
1133,13.37414312798939,18
1134,14.838230375943931,18
1135,13.830937545767544,18
1136,14.212949736439034,18
1137,13.210653078664578,18
1138,10.814277181124236,18
1139,11.030611303282459,18
1140,14.025001547157347,18
1141,14.441186995181777,18
1142,13.227432806029448,18
1143,12.679390586381444,18
1144,13.761169390501355,18
1145,11.571051872546924,18
1146,13.786874276561234,18
1147,13.448874695961308,18
1148,13.27936967406563,18
1149,13.197545241984516,18
1150,13.40996900373656,18
1151,13.304791419360598,18
1152,14.281623898700676,18
1153,14.279834279663728,18
1154,16.08954374554501,18
1155,15.720975031793333,18
1156,14.691926561076123,18
1157,12.187685112610493,18
1158,14.289899871900962,18
1159,12.621687624068691,18
1160,13.189735726223828,18
1161,12.178687793537497,18
1162,14.27474029258809,18
1163,12.72685174379377,18
2069,14.818698623067068,5
2070,15.333229143793782,5
2071,11.038425440944307,5
2072,20.306393277819602,5
2073,20.105540148755303,5
2074,20.1128567339084,5
2075,19.927045432589,5
2076,18.756647301324723,5
2077,17.41466513891615,5
2078,16.479303553868977,5
2079,14.821598385189356,5
2080,17.37383464761154,5
2081,17.804140842614085,5
