,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,8,0,0,5,7
true_Good,0,247,64,87,3
true_High,0,37,784,4,0
true_Moderate,0,43,4,670,12
true_Poor,1,0,0,55,38
