,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.5,0.6,0.8354700854700855,0.7432950191570882,0.6521739130434783,0.7680180180180181,0.6661878035341304,0.751989296844994
recall,0.3333333333333333,0.4144736842105263,0.9421686746987952,0.7918367346938775,0.46875,0.7680180180180181,0.5901124853873064,0.7680180180180181
f1-score,0.4,0.490272373540856,0.8856172140430351,0.766798418972332,0.5454545454545454,0.7680180180180181,0.6176285104021537,0.7540847389227273
support,12.0,152.0,415.0,245.0,64.0,0.7680180180180181,888.0,888.0
