,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.8700729927007299,0.909452736318408,0.8455249569707401,0.8024691358024691,0.8659629843840371,0.6855039643584695,0.8629168521038995
recall,0.0,0.9077063661285409,0.8688212927756654,0.8562091503267973,0.4868913857677903,0.8659629843840371,0.6239256389997588,0.8659629843840371
f1-score,0.0,0.8884913536076327,0.8886728245017015,0.8508335137475644,0.6060606060606061,0.8659629843840371,0.646811659583501,0.8626781407082837
support,19.0,3283.0,1052.0,2295.0,267.0,0.8659629843840371,6916.0,6916.0
