,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,4,1,1,0,0
true_Good,0,28,18,6,0
true_High,0,11,362,0,0
true_Moderate,0,10,3,16,0
true_Poor,0,0,1,2,3
