,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,1,0,1,17
true_Good,0,1259,66,112,0
true_High,0,93,617,2,2
true_Moderate,0,146,2,832,40
true_Poor,3,1,1,92,102
