,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,1,0,0,0,7
true_Good,0,1021,51,218,1
true_High,0,84,356,1,1
true_Moderate,0,154,2,2048,22
true_Poor,0,2,1,124,94
