,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,1.0,0.809674861221253,0.8682926829268293,0.8565453785027185,0.752,0.8404966571155683,0.8573025845301603,0.8380939885953551
recall,0.125,0.790859798605732,0.8054298642533937,0.9200359389038635,0.4253393665158371,0.8404966571155683,0.6133329936557652,0.8404966571155683
f1-score,0.2222222222222222,0.8001567398119123,0.8356807511737089,0.8871561620099632,0.5433526011560693,0.8404966571155683,0.6577136952747752,0.8354922546283202
support,8.0,1291.0,442.0,2226.0,221.0,0.8404966571155683,4188.0,4188.0
