,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,0,10
true_Good,0,118,5,64,1
true_High,0,11,10,2,0
true_Moderate,0,23,1,354,12
true_Poor,2,0,0,39,64
