,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.6837606837606838,0.7954545454545454,0.7686567164179104,0.7894736842105263,0.75,0.7593364074609166,0.7486719779930944
recall,0.6153846153846154,0.7142857142857143,0.8879310344827587,0.40540540540540543,0.75,0.6557516923896234,0.75
f1-score,0.6477732793522267,0.7526881720430108,0.824,0.5357142857142857,0.75,0.6900439342773808,0.7412537395476017
support,130.0,49.0,232.0,37.0,0.75,448.0,448.0
