,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.6727272727272727,0.825,0.68,0.0,0.725,0.5444318181818182,0.7060075757575758
recall,0.7708333333333334,0.868421052631579,0.5483870967741935,0.0,0.725,0.5469103706847764,0.725
f1-score,0.7184466019417476,0.8461538461538461,0.6071428571428571,0.0,0.725,0.5429358263096127,0.7121725968206551
support,48.0,38.0,31.0,3.0,0.725,120.0,120.0
