,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.7852760736196319,0.75,0.7836644591611479,0.7738095238095238,0.7821229050279329,0.6185500113180608,0.7706159789292438
recall,0.0,0.6808510638297872,0.5217391304347826,0.9102564102564102,0.6190476190476191,0.7821229050279329,0.5463788447137199,0.7821229050279329
f1-score,0.0,0.7293447293447294,0.6153846153846154,0.8422301304863582,0.6878306878306878,0.7821229050279329,0.5749580326092782,0.7708975256739624
support,10.0,188.0,23.0,390.0,105.0,0.7821229050279329,716.0,716.0
