,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,0,10
true_Good,0,128,4,56,0
true_High,0,9,12,2,0
true_Moderate,0,26,0,355,9
true_Poor,0,0,0,40,65
