,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,2,3
true_Good,0,217,3,76,0
true_High,0,16,26,1,0
true_Moderate,0,30,1,547,4
true_Poor,0,0,0,42,9
