,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,4,10
true_Good,0,5512,69,232,0
true_High,0,157,573,1,0
true_Moderate,0,461,8,1895,11
true_Poor,0,2,0,109,92
