SamplingOperations_code,IBD_pred
S02000010_20080811,13.765715758022338
S02000010_20100719,15.386577747486072
S02000010_20150811,13.41796283416132
S02000010_20160825,14.207037627515614
S02000010_20170703,15.749291657031055
S02000011_20100719,14.720400616786455
S02000011_20160719,13.188961195297836
S02000011_20210823,14.405617328901064
S02001000_20160720,9.213144352300068
S02001016_20080811,13.376911416786559
S02001016_20200707,14.661460377428288
S02001025_20110723,15.358763397552284
S02001025_20160720,16.14158197756967
S02001025_20190717,15.520424854071745
S02001046_20100726,14.82558201920871
S02001050_20120718,15.707081453404742
S02001050_20160826,15.093776151836177
S02001150_20170704,15.877851930559162
S02001200_20160825,15.268657224972957
S02001500_20070907,16.604806010416645
S02001500_20080805,18.313169144025533
S02001500_20160826,17.09810150414433
S02001500_20210805,18.37734243700224
S02001700_20110720,15.435406661615378
S02001700_20120718,14.859550025161196
S02001700_20160823,14.920753792276457
S02001700_20210811,15.122556974560036
S02001715_20160825,15.410211127096469
S02001715_20200703,17.809412361794678
S02001717_20160825,15.60666484760597
S02001725_20160829,15.661636776193907
S02001750_20160722,15.264182869182633
S02001750_20180716,15.47500185151492
S02001750_20210811,10.556301167700422
S02001895_20160721,13.140477449815542
S02001915_20180717,7.883515001410158
S02002000_20120801,15.08512032071338
S02003100_20080811,14.4259851787746
S02003100_20160721,9.632754026234077
S02003200_20080808,12.69209076254977
S02003200_20160721,7.096706300966135
S02003350_20160722,9.090758585628599
S02003397_20170703,15.260773195282056
S02003400_20110722,14.004315909342159
S02003400_20160722,6.781163154428141
S02003400_20200708,13.094444582537234
S02003610_20170807,13.917968752436854
S02003617_20170818,11.065140340848721
S02003620_20180717,13.181886596094659
S02003800_20110722,15.187273322791112
S02003800_20160721,13.89323959769833
S02003800_20210826,14.200442490430811
S02004000_20110723,15.392263393652938
S02004000_20160720,14.355364961824023
S02004000_20200707,12.940118285741839
S02004300_20160803,19.430480073911127
S02004300_20190703,19.777936048588167
S02005700_20160720,11.088831044001566
S02005700_20170703,17.25571714306232
S02005700_20190717,19.05311927100961
S02006450_20200710,13.91835983926907
S02007000_20110722,16.008029032189874
S02007000_20160719,11.371367840913692
S02007000_20210809,11.332559075645165
S02007300_20160719,15.50799067435821
S02009000_20100721,15.986160284245704
S02009000_20160722,16.590449593646717
S02010000_20080808,8.027555633589838
S02010000_20100720,6.43996590648592
S02010000_20160719,14.28163512933523
S02010000_20210805,13.504758309503138
S02011000_20090722,10.62984935620922
S02011000_20120801,8.03653210379879
S02011000_20160719,13.996303020706275
S02011000_20190718,3.9653580392425187
S02011000_20200708,11.486364369898034
S02013000_20090723,13.98423129482078
S02013000_20120731,12.759733503535708
S02013000_20160721,12.268704508548087
S02016050_20160722,18.475346409416815
S02016050_20170704,17.272566375257565
S02017000_20070808,14.176825335503944
S02018000_20130723,10.614655920541152
S02018000_20160721,9.894452719913158
S02018500_20100722,13.661761057188038
S02018500_20110722,14.580815700992638
S02018500_20120731,14.51764408250722
S02018500_20160719,12.727182391317013
S02018780_20160728,19.837451919052636
S02018780_20200730,18.830690729142873
S02019000_20160721,15.825876859753034
S02019200_20190718,12.293075880705933
S02019500_20080807,13.05316346012477
S02019500_20160720,15.53376074198202
S02019500_20200730,16.054091905797115
S02019950_20100722,11.609833690625738
S02019950_20150716,14.375329068774308
S02020000_20080807,13.837724259214736
S02020000_20100722,12.80380503647348
S02020000_20160720,13.576179173513001
S02020000_20180517,10.665058881526472
S02020300_20210526,11.126618460861748
S02020750_20150715,12.41379374792674
S02020750_20180726,9.991054433246802
S02021000_20080806,8.69802678549967
S02021000_20160719,14.760834647099271
S02021700_20160719,14.945244627318912
S02022000_20160720,14.325224612536587
