,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,5,0,0,0,1
true_Good,0,27,21,4,0
true_High,0,6,367,0,0
true_Moderate,0,10,1,17,1
true_Poor,0,0,0,2,4
