,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,5,0,0,1,20
true_Good,0,54,19,57,0
true_High,0,15,53,0,0
true_Moderate,0,18,1,604,19
true_Poor,0,0,0,58,175
