,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.7142857142857143,0.8205128205128205,0.7777777777777778,0.7,0.7611607142857143,0.7531440781440781,0.7576042756846328
recall,0.6538461538461539,0.6530612244897959,0.9051724137931034,0.3783783783783784,0.7611607142857143,0.6476145426268579,0.7611607142857143
f1-score,0.6827309236947792,0.7272727272727273,0.8366533864541833,0.49122807017543857,0.7611607142857143,0.684471276899282,0.7514964463628274
support,130.0,49.0,232.0,37.0,0.7611607142857143,448.0,448.0
