,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,4,1,0,0,14
true_Good,0,1285,52,99,1
true_High,0,79,632,3,0
true_Moderate,0,148,3,845,24
true_Poor,2,1,1,85,110
