SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S04002870_20120711,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04002945_20121031,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003010_20121115,1.0,0.0,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S04003060_20211013,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04003160_20121115,1.0,0.0,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S04003160_20131025,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003160_20161012,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003160_20180919,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003170_20180918,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04003170_20211014,1.0,1.182252202259969e-292,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S04003200_20140819,1.0,0.0,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S04003200_20180821,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003200_20190903,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003340_20150624,0.0,0.8478554508861871,0.1521445491138129,0.0,0.0,Good,0.7350559121521323,0.42641105965762915,13
S04003353_20151016,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003400_20201006,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04003500_20171003,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003645_20120904,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003645_20130830,0.0,1.0,2.745067153694735e-27,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04003700_20130626,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04003900_20120905,1.0,6.23202755102826e-52,0.0,0.0,0.0,High,0.9999999999313275,1.1052408446371418e-10,13
S04003900_20170919,0.0,1.0,0.0,0.0,0.0,Good,0.9999999999313275,1.1052408446371418e-10,13
S04004100_20190806,0.0,0.0,0.0,0.0,1.0,Poor,0.9999999999313275,1.1052408446371418e-10,13
S04004805_20210819,0.0,0.0,0.0,1.0,0.0,Bad,0.9999999999313275,1.1052408446371418e-10,13
S04004825_20190905,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04005530_20200810,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
S04006000_20200810,0.0,0.0,1.0,0.0,0.0,Moderate,0.9999999999313275,1.1052408446371418e-10,13
