,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,1,0,0,0
true_Good,0,231,1,0,0
true_High,0,0,988,0,0
true_Moderate,0,0,1,85,0
true_Poor,0,2,0,1,3
