,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,2,0,0,4,0
true_Good,0,91,25,25,0
true_High,0,27,87,3,0
true_Moderate,0,28,4,140,8
true_Poor,0,1,0,35,14
