,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,1,0,6,12
true_Good,0,2980,86,217,0
true_High,0,131,914,7,0
true_Moderate,0,308,2,1965,20
true_Poor,0,5,3,129,130
