,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,5,0,0,2,19
true_Good,0,47,19,64,0
true_High,0,14,53,1,0
true_Moderate,0,20,1,597,24
true_Poor,4,0,0,64,165
