,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,6,0,0,3,3
true_Good,0,60,59,32,1
true_High,0,11,398,6,0
true_Moderate,1,16,13,208,7
true_Poor,1,2,2,32,27
