,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.7763157894736842,0.625,0.7712418300653595,0.735632183908046,0.7625698324022346,0.5816379606894179,0.751882767397888
recall,0.0,0.6276595744680851,0.43478260869565216,0.9076923076923077,0.6095238095238096,0.7625698324022346,0.5159316600759709,0.7625698324022346
f1-score,0.0,0.6941176470588235,0.5128205128205128,0.833922261484099,0.6666666666666666,0.7625698324022346,0.5415054176060203,0.7507244014255995
support,10.0,188.0,23.0,390.0,105.0,0.7625698324022346,716.0,716.0
