,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.5,0.8460304731355253,0.9095354523227384,0.8689138576779026,0.8346456692913385,0.8648519579751671,0.7918250904855009,0.8636339424185795
recall,0.125,0.8171959721146398,0.8416289592760181,0.9380053908355795,0.4796380090497738,0.8648519579751671,0.6402936662552022,0.8648519579751671
f1-score,0.2,0.8313632781717888,0.8742655699177438,0.9021386908619572,0.6091954022988506,0.8648519579751671,0.6833925882500681,0.8605798194341415
support,8.0,1291.0,442.0,2226.0,221.0,0.8648519579751671,4188.0,4188.0
