,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,24,0,0,0,50
true_Good,0,905,160,183,1
true_High,1,162,1012,5,0
true_Moderate,4,157,11,1282,68
true_Poor,17,3,0,140,245
