,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.5217391304347826,0.7375713121434393,0.8554522400676247,0.7962732919254658,0.6730769230769231,0.7828442437923251,0.716822579529647,0.7796372487484965
recall,0.32432432432432434,0.7245796637309848,0.8576271186440678,0.8423127463863338,0.6049382716049383,0.7828442437923251,0.6707564249381298,0.7828442437923251
f1-score,0.4,0.7310177705977383,0.8565382987727465,0.8186462324393359,0.6371911573472041,0.7828442437923251,0.6886786918314051,0.780451099893161
support,74.0,1249.0,1180.0,1522.0,405.0,0.7828442437923251,4430.0,4430.0
