,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.9871794871794872,0.997979797979798,0.9883720930232558,1.0,0.9954303122619954,0.7947062756365082,0.9946913034498717
recall,0.0,0.9956896551724138,1.0,0.9883720930232558,0.5,0.9954303122619954,0.6968123496391339,0.9954303122619954
f1-score,0.0,0.9914163090128756,0.9989888776541962,0.9883720930232558,0.6666666666666666,0.9954303122619954,0.7290887892713989,0.994676005189134
support,1.0,232.0,988.0,86.0,6.0,0.9954303122619954,1313.0,1313.0
