,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,0,0,0,4,10
true_Good,0,5470,92,250,1
true_High,0,167,562,2,0
true_Moderate,0,459,8,1896,12
true_Poor,0,1,1,114,87
