,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.0,0.8971625389535838,0.8476621417797888,0.8367166813768756,0.7909090909090909,0.8772985989492119,0.6744900906038678,0.8737525753396271
recall,0.0,0.9409943230689833,0.7688098495212038,0.7983157894736842,0.42857142857142855,0.8772985989492119,0.58733827812706,0.8772985989492119
f1-score,0.0,0.9185558354324097,0.806312769010043,0.8170652876535229,0.5559105431309904,0.8772985989492119,0.6195688870453933,0.8737258760888406
support,14.0,5813.0,731.0,2375.0,203.0,0.8772985989492119,9136.0,9136.0
