,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,6,0,0,0,11
true_Good,0,583,58,49,0
true_High,0,45,517,2,0
true_Moderate,0,82,2,392,13
true_Poor,0,2,1,63,72
