SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02000010_20080811,3.455415271090886e-08,0.9999722247591206,2.772597230506263e-05,3.5343532705485016e-10,1.4360986397953584e-08,Good,0.9998014411817614,0.00031956808992127767,10
S02000010_20100719,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02000010_20150811,1.8557719749568676e-06,0.08765252576044935,0.9123448282120109,1.898166568850746e-08,7.712738990600489e-07,Moderate,0.8153946787950328,0.29711080278434887,10
S02000010_20160825,3.4554981308692824e-08,0.999996203780583,3.755257669890596e-06,3.53443802323547e-10,6.053322135561746e-09,Good,0.9999680483882004,5.142413539369538e-05,9
S02000010_20170703,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02000011_20100719,8.71006558387045e-06,0.929661941100812,0.07032894494337474,2.2281522342236205e-08,3.8160870701816447e-07,Good,0.8418050448969798,0.254604958298611,10
S02000011_20160719,3.4554981308692824e-08,0.999996203780583,3.755257669890596e-06,3.53443802323547e-10,6.053322135561746e-09,Good,0.9999680483882004,5.142413539369538e-05,9
S02000011_20210823,5.228963290571174e-08,0.9998492871020407,0.00015065091341647763,5.348417500561017e-10,9.160068399426854e-09,Good,0.9990819345218236,0.001477569386674117,10
S02001000_20160720,3.1909730960692855e-05,0.005073329790372295,0.0014971059440295415,7.743436650741355e-07,0.9933968801909724,Poor,0.9729928875545822,0.043466270675026154,9
S02001016_20080811,3.414552881848281e-10,2.7073344736992483e-09,0.9999999968058062,3.492557391404726e-12,1.419115899080791e-10,Moderate,0.9999999581495702,6.735566842053779e-08,10
S02001016_20200707,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001025_20110723,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001025_20160720,1.9362054436904376e-09,0.9999999859146482,1.1790158624189699e-08,1.980437517775021e-11,3.391833775449913e-10,Good,0.9999998284770835,2.760554847181726e-07,9
S02001025_20190717,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001046_20100726,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001050_20120718,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001050_20160826,1.9362054436904376e-09,0.9999999859146482,1.1790158624189699e-08,1.980437517775021e-11,3.391833775449913e-10,Good,0.9999998284770835,2.760554847181726e-07,9
S02001150_20170704,1.1053328733114946e-10,0.9999999994810613,3.722650535671632e-10,1.1305838949423627e-12,3.500944605802836e-11,Good,0.999999992538165,1.2009360167183663e-08,10
S02001200_20160825,1.9362054436904376e-09,0.9999999859146482,1.1790158624189699e-08,1.980437517775021e-11,3.391833775449913e-10,Good,0.9999998284770835,2.760554847181726e-07,9
S02001500_20070907,1.1053328729962978e-10,0.9999999991959012,6.730716488596575e-10,1.1305838946199652e-12,1.936315892490251e-11,Good,0.9999999887776905,1.806161041319851e-08,10
S02001500_20080805,0.9646951928100063,0.035301340660240106,3.232987779760935e-06,1.288387370356598e-08,2.2065810001156765e-07,High,0.9050845965004625,0.15276044886613596,10
S02001500_20160826,0.9999997819501791,1.2172155412821049e-07,9.348192131629041e-08,1.5702511739633e-10,2.6893203749100248e-09,High,0.9999976850860097,3.725710339940996e-06,9
S02001500_20210805,0.01977184529954192,0.9802255395849021,2.438933814726503e-06,9.719466135011552e-09,1.6646227523053303e-07,Good,0.9396145053967329,0.09718670437558294,10
S02001700_20110720,1.1053328733114946e-10,0.9999999994810613,3.722650535671632e-10,1.1305838949423627e-12,3.500944605802836e-11,Good,0.999999992538165,1.2009360167183663e-08,10
S02001700_20120718,1.1053328733114946e-10,0.9999999994810613,3.722650535671632e-10,1.1305838949423627e-12,3.500944605802836e-11,Good,0.999999992538165,1.2009360167183663e-08,10
