,pred_Bad,pred_Good,pred_High,pred_Moderate,pred_Poor
true_Bad,1,0,0,0,7
true_Good,0,1055,32,203,1
true_High,0,68,372,1,1
true_Moderate,0,124,2,2088,12
true_Poor,1,0,3,111,106
