,Bad,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,1.0,0.56,0.9402597402597402,0.6666666666666666,1.0,0.8862660944206009,0.8333852813852815,0.8823395202794343
recall,0.6666666666666666,0.5384615384615384,0.9705093833780161,0.5517241379310345,0.5,0.8862660944206009,0.6454723452874511,0.8862660944206009
f1-score,0.8,0.5490196078431373,0.9551451187335093,0.6037735849056604,0.6666666666666666,0.8862660944206009,0.7149209956297946,0.8822480318834899
support,6.0,52.0,373.0,29.0,6.0,0.8862660944206009,466.0,466.0
