,Good,High,Moderate,Poor,accuracy,macro avg,weighted avg
precision,0.8205882352941176,0.8909090909090909,0.7846153846153846,0.0,0.8361086765994742,0.6240281777046482,0.8300117060853256
recall,0.9117647058823529,0.8305084745762712,0.6181818181818182,0.0,0.8361086765994742,0.5901137496601105,0.8361086765994742
f1-score,0.8637770897832817,0.8596491228070176,0.6915254237288135,0.0,0.8361086765994742,0.6037379090797782,0.8300167075690683
support,612.0,354.0,165.0,10.0,0.8361086765994742,1141.0,1141.0
