region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05173100_20130828,High,High,,High,,,,,
1,S05173100_20140820,High,High,,High,,,,,
1,S05173100_20150812,High,High,,High,,,,,
1,S05173100_20160811,High,High,,High,,,,,
1,S05173100_20170907,High,High,,High,,,,,
1,S05173100_20180828,High,High,,High,,,,,
1,S05173100_20191009,Good,Good,,Good,,,,,
1,S05173100_20210722,Good,Good,,Good,,,,,
1,S05173100_20221013,Good,Good,,Good,,,,,
1,S05173150_20080908,High,High,,High,,,,,
1,S05173150_20100630,High,High,,High,,,,,
1,S05173150_20110816,High,High,,High,,,,,
1,S05173150_20120727,High,High,,High,,,,,
1,S05173150_20130828,High,High,,High,,,,,
1,S05173150_20140722,High,High,,High,,,,,
1,S05173150_20160720,High,High,,High,,,,,
1,S05173150_20170801,High,High,,High,,,,,
1,S05173150_20180809,High,High,,High,,,,,
1,S05173150_20190924,High,High,,High,,,,,
1,S05173150_20200826,High,High,,High,,,,,
1,S05173150_20210927,High,High,,High,,,,,
1,S05173150_20220913,Poor,Good,,Poor,,,,,
1,S05173160_20210930,Good,Good,,Good,,,,,
1,S05173160_20220913,Moderate,Moderate,,Moderate,,,,,
1,S05173165_20210930,High,High,,High,,,,,
1,S05173165_20220913,Good,Good,,Good,,,,,
1,S05173180_20130828,High,High,,High,,,,,
1,S05173180_20150812,High,High,,High,,,,,
1,S05173180_20160811,High,High,,High,,,,,
1,S05173180_20170731,High,High,,High,,,,,
1,S05173180_20180830,High,High,,High,,,,,
1,S05173180_20190924,High,High,,High,,,,,
1,S05173180_20200825,Good,Good,,Good,,,,,
1,S05173180_20210929,Good,Good,,Good,,,,,
1,S05173180_20220914,Good,Good,,Good,,,,,
1,S05173200_20090701,Good,Good,,Good,,,,,
1,S05173200_20100630,High,High,,High,,,,,
1,S05173200_20110809,High,High,,High,,,,,
1,S05173200_20130828,High,High,,High,,,,,
1,S05173200_20140722,Good,Good,,Good,,,,,
1,S05173200_20150721,High,High,,High,,,,,
1,S05173200_20160720,High,High,,High,,,,,
1,S05173200_20170727,Good,Good,,Good,,,,,
1,S05173200_20180808,Good,Good,,Good,,,,,
1,S05173200_20210907,High,High,,High,,,,,
1,S05173200_20220913,Good,Good,,Good,,,,,
1,S05173250_20130828,High,High,,High,,,,,
1,S05173250_20140722,High,High,,High,,,,,
1,S05173250_20150721,High,High,,High,,,,,
1,S05173250_20160810,High,High,,High,,,,,
1,S05173250_20170907,High,High,,High,,,,,
1,S05173250_20180829,High,High,,High,,,,,
1,S05173250_20190809,High,High,,High,,,,,
1,S05173250_20210722,High,High,,High,,,,,
1,S05173250_20221013,High,High,,High,,,,,
1,S05173270_20130828,High,High,,High,,,,,
1,S05173270_20150721,High,High,,High,,,,,
1,S05173270_20160810,High,High,,High,,,,,
1,S05173270_20170801,High,High,,High,,,,,
1,S05173270_20180829,High,High,,High,,,,,
1,S05173270_20190924,High,High,,High,,,,,
1,S05173270_20200826,High,High,,High,,,,,
1,S05173270_20210929,High,High,,High,,,,,
1,S05173270_20220912,Moderate,Moderate,,Moderate,,,,,
1,S05173280_20130828,High,High,,High,,,,,
1,S05173280_20140722,High,High,,High,,,,,
1,S05173280_20150721,High,High,,High,,,,,
1,S05173280_20160810,High,High,,High,,,,,
1,S05173280_20170801,High,High,,High,,,,,
1,S05173280_20180829,High,High,,High,,,,,
1,S05173280_20190925,High,High,,High,,,,,
1,S05173280_20200826,High,High,,High,,,,,
1,S05173280_20210929,High,High,,High,,,,,
1,S05173350_20110809,High,High,,High,,,,,
1,S05173350_20120731,Good,Good,,Good,,,,,
1,S05173350_20130730,High,High,,High,,,,,
1,S05173350_20140717,High,High,,High,,,,,
1,S05173350_20160809,High,High,,High,,,,,
1,S05173350_20170802,High,High,,High,,,,,
1,S05173350_20180808,High,High,,High,,,,,
1,S05173350_20190925,High,High,,High,,,,,
1,S05173350_20200825,High,High,,High,,,,,
1,S05173350_20221004,High,High,,High,,,,,
1,S05173400_20070809,High,High,,High,,,,,
1,S05173400_20080806,High,High,,High,,,,,
1,S05173400_20090625,High,High,,High,,,,,
1,S05173400_20100629,High,High,,High,,,,,
1,S05173400_20110810,High,High,,High,,,,,
1,S05173400_20120817,Good,Good,,Good,,,,,
1,S05173400_20140717,High,High,,High,,,,,
1,S05173400_20150811,High,High,,High,,,,,
1,S05173400_20160719,High,High,,High,,,,,
1,S05173400_20170802,High,High,,High,,,,,
1,S05173400_20180807,High,High,,High,,,,,
1,S05173400_20191001,High,High,,High,,,,,
1,S05173400_20200827,Good,Good,,Good,,,,,
1,S05173400_20210723,Good,Good,,Good,,,,,
1,S05173400_20221013,Moderate,Moderate,,Moderate,,,,,
1,S05173420_20130729,High,High,,High,,,,,
1,S05173420_20140717,High,High,,High,,,,,
1,S05173420_20150721,High,High,,High,,,,,
1,S05173420_20160808,High,High,,High,,,,,
1,S05173420_20180807,High,High,,High,,,,,
1,S05173420_20200827,Good,Good,,Good,,,,,
1,S05173420_20210928,High,High,,High,,,,,
1,S05173420_20220914,Good,Good,,Good,,,,,
1,S05173435_20210928,High,High,,High,,,,,
1,S05173435_20221003,High,High,,High,,,,,
1,S05173450_20110810,Good,Good,,Good,,,,,
1,S05173450_20130729,High,High,,High,,,,,
1,S05173450_20150721,High,High,,High,,,,,
1,S05173450_20160808,High,High,,High,,,,,
1,S05173450_20170803,Moderate,Moderate,,Moderate,,,,,
1,S05173450_20180807,High,High,,High,,,,,
1,S05173450_20190925,High,High,,High,,,,,
1,S05173450_20200827,High,High,,High,,,,,
1,S05173450_20210928,High,High,,High,,,,,
