IBD_pred,SamplingOperations_code
13.315805612960867,S02000010_20080811
15.781572713179413,S02000010_20100719
13.194326618971216,S02000010_20150811
14.57216092362206,S02000010_20160825
16.100625788457766,S02000010_20170703
14.763993969343645,S02000011_20100719
13.669868975631404,S02000011_20160719
14.151792348287984,S02000011_20210823
9.151030712506588,S02001000_20160720
13.08861325652023,S02001016_20080811
14.571991570382805,S02001016_20200707
15.338792055138589,S02001025_20110723
16.118567564541117,S02001025_20160720
15.280886343225893,S02001025_20190717
14.94367496599937,S02001046_20100726
15.657516529424962,S02001050_20120718
15.17961062133381,S02001050_20160826
16.314558228043037,S02001150_20170704
15.209328756044705,S02001200_20160825
16.523621112051753,S02001500_20070907
18.44580271812643,S02001500_20080805
17.287771917783147,S02001500_20160826
18.335662614475144,S02001500_20210805
15.254093382535018,S02001700_20110720
14.721648736731499,S02001700_20120718
15.053032754859705,S02001700_20160823
15.110986968398734,S02001700_20210811
15.327474453268678,S02001715_20160825
17.547110523061946,S02001715_20200703
15.519636206875987,S02001717_20160825
15.8089295213613,S02001725_20160829
15.244573295113494,S02001750_20160722
15.482477357078688,S02001750_20180716
10.311369971498479,S02001750_20210811
13.183184425247767,S02001895_20160721
8.552622020803051,S02001915_20180717
15.085838427323065,S02002000_20120801
14.611359952125522,S02003100_20080811
10.081949946766837,S02003100_20160721
12.667527308004427,S02003200_20080808
7.411172196946555,S02003200_20160721
9.017315615572656,S02003350_20160722
15.527981696915665,S02003397_20170703
13.998065879490957,S02003400_20110722
5.714975402613115,S02003400_20160722
13.11278443918791,S02003400_20200708
13.966447598619743,S02003610_20170807
11.089429862035141,S02003617_20170818
13.275939747854336,S02003620_20180717
15.273945548077831,S02003800_20110722
13.54270822141213,S02003800_20160721
14.043742044427646,S02003800_20210826
15.192289736695283,S02004000_20110723
14.238771349312485,S02004000_20160720
12.766736682337918,S02004000_20200707
19.707419224029145,S02004300_20160803
20.04150966834343,S02004300_20190703
11.097292830737825,S02005700_20160720
17.421363250365374,S02005700_20170703
19.006464237273413,S02005700_20190717
13.956124967347296,S02006450_20200710
15.707981036463117,S02007000_20110722
11.418932595448545,S02007000_20160719
12.452460900696526,S02007000_20210809
15.67106060985027,S02007300_20160719
16.02568230659943,S02009000_20100721
16.619227067340162,S02009000_20160722
8.660046908654637,S02010000_20080808
5.7991605717556425,S02010000_20100720
14.23367495615957,S02010000_20160719
13.691922234060803,S02010000_20210805
10.760675835809515,S02011000_20090722
8.719496165629907,S02011000_20120801
14.197130868904805,S02011000_20160719
5.148005636251833,S02011000_20190718
12.059523108353353,S02011000_20200708
14.153592218144823,S02013000_20090723
12.378342413346003,S02013000_20120731
12.45549837274669,S02013000_20160721
18.812920993746097,S02016050_20160722
16.97245940264326,S02016050_20170704
14.38637628154445,S02017000_20070808
10.424432512750986,S02018000_20130723
9.848919304249142,S02018000_20160721
13.788061389520966,S02018500_20100722
14.667153792666266,S02018500_20110722
14.315667066588395,S02018500_20120731
13.736822896549489,S02018500_20160719
19.737745615004958,S02018780_20160728
18.840347280976918,S02018780_20200730
15.698975102040286,S02019000_20160721
12.410811577968628,S02019200_20190718
12.527576981542378,S02019500_20080807
15.776590020699388,S02019500_20160720
16.154270829117113,S02019500_20200730
11.68735371842837,S02019950_20100722
14.340009357650136,S02019950_20150716
13.502593160127045,S02020000_20080807
12.440420141856018,S02020000_20100722
13.271613636656182,S02020000_20160720
9.58711024813621,S02020000_20180517
11.409843329182484,S02020300_20210526
12.040397012588803,S02020750_20150715
9.442528189804294,S02020750_20180726
9.12146449904907,S02021000_20080806
14.234010812350865,S02021000_20160719
15.161658737649649,S02021700_20160719
14.20782923939626,S02022000_20160720
14.43030065473144,S02022700_20160826
12.649361931740376,S02022730_20160825
14.659934318728993,S02022760_20100722
7.6113219089769215,S02022800_20170705
14.249055330007188,S02023000_20140924
13.818442979326706,S02023000_20160825
13.674420020443558,S02023750_20200702
10.610901279711948,S02024000_20090803
15.710065757496496,S02024000_20160720
13.761061282718694,S02024000_20190829
11.71487029411521,S02025100_20080806
8.357468250578423,S02025100_20200520
16.60413765811407,S02025125_20180726
12.430812659378105,S02025150_20090803
12.76176045543233,S02025500_20090804
13.41392341520896,S02025500_20160825
13.848142092687487,S02025500_20170706
20.160556192608293,S02025700_20160825
16.62792408626011,S02026250_20170706
19.82916605692757,S02026250_20200701
15.201367319569611,S02026500_20160823
15.558869190798852,S02026500_20200703
14.394122590159972,S02027000_20160831
18.378189557238766,S02028000_20130821
17.293061404701536,S02028000_20160824
14.084317773037018,S02028500_20160823
13.675581436462277,S02028500_20180803
14.556104524327644,S02029000_20120718
12.507663252048939,S02029000_20160830
11.937625384042915,S02029000_20180802
19.75156277568521,S02029160_20130821
16.796243955680925,S02029160_20160824
13.933352282940811,S02030200_20160822
12.952525761594645,S02030350_20100727
13.82841507632987,S02030350_20180801
13.668454251071276,S02030500_20080807
13.715618793239072,S02030500_20090804
11.417670620088039,S02030500_20160830
13.95596174134071,S02030500_20210811
14.452184020008794,S02031400_20160901
15.232436240218265,S02031650_20160901
16.11150888359505,S02031650_20180731
18.246760017301465,S02031650_20190808
14.270693954847886,S02032000_20070807
12.543750035637169,S02032000_20090805
14.362209199977652,S02032000_20130821
13.70674149490877,S02032800_20160825
14.124512177772429,S02035000_20090805
6.620217932737841,S02035000_20170707
10.730313294729022,S02036000_20080807
12.935420275682223,S02036000_20160826
13.329457287624342,S02036250_20160825
14.567864733345495,S02036250_20170816
10.83578748485765,S02036265_20090805
14.056648611352315,S02037000_20160830
12.792213416200767,S02037500_20120718
14.403610485619048,S02037500_20160824
10.695965899641205,S02037500_20210806
