region,R2_train,R2_valid,MAE_train,MAE_valid,RMSE_train,RMSE_valid,best_iterations,gap,used_ohe
18,0.995981497711057,0.9138343450182971,0.0966957582656932,0.4495667633131459,0.01697537718962362,0.4734659864520756,4999,0.08214715269275996,False
5,0.9953946256328039,0.9454403597728445,0.12171072369234809,0.377442045014199,0.02854157342701393,0.3915962852410446,4999,0.049954265859959435,False
4,0.9983254091488976,0.8536001610092641,0.08094788070059743,0.6685952804933025,0.012129543707225061,1.1267195101550205,4993,0.1447252481396335,False
10,0.9882419406812326,0.9503459251074842,0.19962437632923968,0.39117613150912345,0.09661281636640742,0.3994201765296444,4999,0.03789601557374844,False
22,0.9934829634715736,0.6459222591517515,0.14965438072221754,1.1062413966297775,0.04851116237272487,2.9765151864695962,2938,0.3475607043198221,False
9,0.9732836402027888,0.944718087106271,0.19005457952918403,0.25647304481123423,0.08801554958315615,0.17868973588585496,4998,0.02856555309651776,False
21,0.9947900668955452,0.9345261770789628,0.1432217679235118,0.44050856981096864,0.035982949675208674,0.48393524862517057,4982,0.06026388981658237,False
20,0.9976763128250528,0.8853221619179683,0.08426648399652215,0.6352866097960957,0.014467479159847665,0.7268994928631675,4953,0.11235415090708445,False
12,0.988011460356556,0.9494950443994986,0.1747914196825468,0.347237994325245,0.06476287338673405,0.2855944073417161,4999,0.03851641595705735,False
8,0.9910998982241152,0.8295150145137884,0.12144429864626508,0.6141516689391531,0.03731441892432936,0.7426695261874243,4689,0.16158488371032675,False
3,0.9908616819390037,0.9625108206411358,0.19145929302846895,0.37832030780140347,0.06728119430098863,0.28711576204775735,4995,0.028350861297867902,False
17,0.9952788491411009,0.9222506335366665,0.10364552330962516,0.47288742960088315,0.029440545630012974,0.42139043025430056,4914,0.0730282156044344,False
14,0.978768123835101,0.9197991396878697,0.2390706317181468,0.39912934201632827,0.1290702547829755,0.49211418986622,4999,0.058968984147231285,False
11,0.9852155498642193,0.8808827175745988,0.1945206340471728,0.4834598491664666,0.0702536449750601,0.534276980140906,2440,0.10433283228962054,False
13,0.9926131885688813,0.8918309322647415,0.18777916049931556,0.6900558066089427,0.06889541264585132,1.1247760311691224,4998,0.10078225630413973,False
19,0.9926272825576699,0.8417953651648079,0.11603274028796258,0.6298028365387628,0.031193694734610988,0.7769841471797381,4976,0.15083191739286195,False
1,0.9864946755858337,0.8140723829663065,0.08036616696920944,0.3018528640632703,0.02555588051687691,0.4095336327196735,4971,0.17242229261952724,False
7,0.9951273085151727,0.9101548542323752,0.07322991543946131,0.2982230251764208,0.02183110680027583,0.3432609241198056,4932,0.08497245428279754,False
6,0.994405033594278,0.9524596134775573,0.17978146632582268,0.48693726692706424,0.05735465851418896,0.5309941001247348,4999,0.041945420116720755,False
16,0.9976877709063905,0.926984273538265,0.08061412822457129,0.34550947863795484,0.01262697340060153,0.23854785981625298,4999,0.07070349736812553,False
15,0.9958984715644978,0.938186196181856,0.10680527929915151,0.4227607910667482,0.022604971932652526,0.3953868747724835,4999,0.0577122753826419,False
2,0.9937545841167893,0.7254793451913513,0.031217187815077884,0.19426767971908301,0.01054124979856908,0.2563754394148449,4947,0.26827523892543803,False
