SamplingOperations_code,IBD_pred,region
977,14.281455270684049,18
978,15.036841692296651,18
979,13.80998816716195,18
980,14.92067478177541,18
981,15.891144630329547,18
982,14.562344172284932,18
983,14.431105044003012,18
984,13.775521218003272,18
985,10.450685327432494,18
986,11.967334954485752,18
987,14.722987551551824,18
988,15.435127973647145,18
989,15.568184665181661,18
990,14.32801114859884,18
991,15.135697294845148,18
992,15.582526799362439,18
993,15.229683414582812,18
994,15.680698116139082,18
995,15.016062948174678,18
996,16.73465792324869,18
997,17.839341088450045,18
998,17.641493238857567,18
999,16.943055901152487,18
1000,14.898630819403973,18
1001,14.877859754940177,18
1002,13.772299542770206,18
1003,14.986228585104525,18
1004,15.466305916699643,18
1005,17.217382971444827,18
1006,15.16723584639846,18
1007,15.25294030691268,18
1008,12.201116897761597,18
1009,9.225913124877708,18
1010,15.213132011455532,18
1011,14.08275283425027,18
1012,9.723878321435464,18
1013,11.83322152806667,18
1014,8.031887598796747,18
1015,9.53319262928494,18
1016,15.4530590561223,18
1017,13.484121853537015,18
1018,7.0958242624507895,18
1019,12.788451212017836,18
1020,13.882537417053944,18
1021,12.924698600157301,18
1022,13.486138452626813,18
1023,14.562364958270853,18
1024,13.460704924743327,18
1025,13.995575750625141,18
1026,15.244558274695082,18
1027,14.33069096754535,18
1028,12.521303107510532,18
1029,11.664158290586514,18
1030,17.113891579921827,18
1031,17.07758735363987,18
1032,14.485182434193728,18
1033,14.160258196623023,18
1034,11.229259030794275,18
1035,11.699819046473564,18
1036,15.336658198119085,18
1037,9.105942306295859,18
1038,7.093764383372617,18
1039,13.983932912650117,18
1040,12.66457346998716,18
1041,10.855247726320881,18
1042,10.59428115055896,18
1043,12.790949976222489,18
1044,6.426953940706142,18
1045,12.237018472676976,18
1046,13.9417392026391,18
1047,12.53246880007584,18
1048,11.014364671010897,18
1049,15.174459272584546,18
1050,10.709862343490714,18
1051,10.178803677674274,18
1052,13.69877362904467,18
1053,14.825333831055625,18
1054,14.368680831833462,18
1055,13.605703251355738,18
1056,13.038094642993588,18
1057,16.048466154530182,18
1058,15.612951066808847,18
1059,11.582843080316911,18
1060,11.92981264609935,18
1061,10.296236012639667,18
1062,9.819091835309322,18
1063,14.761638660342788,18
1064,15.7185325074818,18
1065,14.069448579091762,18
1066,14.13259381155314,18
1067,12.66229159373698,18
1068,13.681812430307394,18
1069,9.910613308037002,18
1070,12.353533022422328,18
1071,8.864428603697007,18
1072,15.739987440329838,18
1073,13.162162065431732,18
1074,13.059105419765856,18
1075,12.38062409716402,18
1076,13.188053732045773,18
1077,20.20554576185929,18
1078,16.868259526457273,18
1079,19.638885177754236,18
1080,15.453230274283683,18
1081,16.10570751469565,18
1082,14.45292479125959,18
1083,14.010615514596667,18
1084,13.340359616975078,18
1085,14.587648266201636,18
1086,12.744137418536038,18
1087,12.051762537692712,18
1088,13.574913805073177,18
1089,13.38112727847339,18
1090,13.550950081251354,18
1091,14.109718481782354,18
1092,14.380291467645927,18
1093,12.268881633362145,18
1094,14.334376004531975,18
1095,13.945156021203978,18
1096,13.098513169838402,18
1097,14.216725637484931,18
1098,13.513431394918547,18
1099,13.892842774846603,18
1100,8.100634967651759,18
1101,11.577307945867128,18
1102,13.412424167271249,18
1103,12.904516617608468,18
1104,14.028362606449678,18
1105,9.84728608442203,18
1106,13.962828055302676,18
1107,12.805048352422517,18
1108,14.65217005271073,18
1109,10.995386811922106,18
1110,13.939053913745083,18
1111,14.119332718334357,18
1112,13.400330100817035,18
1113,11.86427150605788,18
1114,11.73070086270442,18
1115,14.202079818009079,18
1116,13.39635324050936,18
1117,15.08637534318731,18
1118,14.83340607997392,18
1119,13.122548687503913,18
1120,12.77660098568003,18
1121,12.512700071135768,18
1122,12.875076697928977,18
1123,14.125217595680372,18
1124,12.358967159405609,18
1125,13.064576353068478,18
1126,11.487729911802347,18
1127,11.693520939798342,18
1128,13.832234742311206,18
1129,12.99221106057521,18
1130,14.109948158650779,18
1131,13.956020829393532,18
1132,14.202959202073083,18
1133,13.135836090632175,18
1134,14.882584577665853,18
1135,13.810764030627618,18
1136,13.907603229603412,18
1137,13.339286971441464,18
1138,10.712201539251405,18
1139,10.782370562298263,18
1140,13.973117822657484,18
1141,14.506977089989949,18
1142,13.184128885078515,18
1143,13.401048357585735,18
1144,13.79224604756224,18
1145,12.505175371481938,18
1146,13.958523795326627,18
1147,13.700244680772569,18
1148,14.191062326022948,18
1149,13.466936551731996,18
1150,13.562248810013218,18
1151,13.263487788521054,18
1152,14.741663475113414,18
1153,14.75542091540113,18
1154,17.503311228197845,18
1155,15.578782921191742,18
1156,15.02498653210306,18
1157,11.797647937515475,18
1158,14.664074854598683,18
1159,12.971918013058415,18
1160,13.224822146662333,18
1161,11.648858712546955,18
1162,13.919319557803648,18
1163,12.83549585062827,18
2069,15.327660762149254,5
2070,15.388375294371638,5
2071,10.583631567111649,5
