SamplingOperations_code,IBD_pred,region
977,14.209007268060937,18
978,15.27660495209981,18
979,13.765104998377103,18
980,15.03475922417746,18
981,15.92230694655174,18
982,14.045739691206727,18
983,14.229930732280025,18
984,13.97550103679388,18
985,10.37146141757025,18
986,12.569731957964411,18
987,14.677781187752718,18
988,15.184764062118271,18
989,15.684059445609318,18
990,14.568631915670814,18
991,15.165050717555959,18
992,15.519613971590774,18
993,14.952993326240648,18
994,15.726013262953028,18
995,15.143478040691802,18
996,16.750717183049606,18
997,17.58387802681672,18
998,17.560737008186898,18
999,15.823453369689604,18
1000,15.210647615708709,18
1001,14.959299553106167,18
1002,13.408025052935326,18
1003,15.251630763808501,18
1004,15.378691558793632,18
1005,17.32673009616634,18
1006,15.430036548836,18
1007,15.62527193175515,18
1008,12.411957669258062,18
1009,8.321073200573766,18
1010,15.231313436507655,18
1011,14.286491876696608,18
1012,10.381451289089817,18
1013,11.903863763861477,18
1014,8.133849809584301,18
1015,9.944057251655257,18
1016,15.46505690721254,18
1017,13.569255338546073,18
1018,6.8185812584125705,18
1019,12.705386895528223,18
1020,13.824844563493176,18
1021,12.255205834611505,18
1022,13.237502957686516,18
1023,14.847133007083846,18
1024,13.677344179986974,18
1025,14.1257582146312,18
1026,15.371087915500768,18
1027,14.453814809669183,18
1028,12.397321073459262,18
1029,11.790210147415271,18
1030,16.94808266881244,18
1031,17.455576597940365,18
1032,14.280328781873887,18
1033,14.795042119718246,18
1034,11.36673961618154,18
1035,11.826745417184672,18
1036,15.822626651499496,18
1037,9.068688768831688,18
1038,6.670171654067007,18
1039,13.942888417259374,18
1040,12.678791932509927,18
1041,11.055003051510868,18
1042,10.64859743525167,18
1043,12.809664132799785,18
1044,5.753820167068302,18
1045,12.091152311638602,18
1046,13.88028393279597,18
1047,12.780343258983912,18
1048,11.136679543901423,18
1049,15.00920254511808,18
1050,10.60335108773299,18
1051,10.164149874828862,18
1052,13.500326172078392,18
1053,14.896345810032326,18
1054,14.278758221865463,18
1055,13.321416947616736,18
1056,12.659499034212233,18
1057,15.806564768791654,18
1058,15.95395172200876,18
1059,11.531624715905652,18
1060,12.291159344825013,18
1061,10.376939519685113,18
1062,9.03258432635813,18
1063,14.715556000904233,18
1064,15.513403437264333,18
1065,14.179210478333639,18
1066,14.334061225045671,18
1067,13.261080384023638,18
1068,13.504315804136924,18
1069,9.814656831407902,18
1070,11.88371414650665,18
1071,8.642989986802906,18
1072,16.479653351415415,18
1073,12.921386186299939,18
1074,13.266566928516804,18
1075,12.544670810447288,18
1076,13.110010353934575,18
1077,20.087163870587244,18
1078,16.824480189863834,18
1079,19.777039777464687,18
1080,15.553255858306654,18
1081,15.89248032800193,18
1082,14.381608948801528,18
1083,13.87977859330319,18
1084,13.245949335217096,18
1085,14.642643486912355,18
1086,12.996957248963698,18
1087,11.837656469333616,18
1088,13.97382139981147,18
1089,13.239573580428441,18
1090,13.770435168426873,18
1091,13.967152694673214,18
1092,14.241453333285476,18
1093,11.962877589392189,18
1094,14.44267040934959,18
1095,13.926095678932057,18
1096,13.234916611889517,18
1097,14.14841118345052,18
1098,13.621108059824525,18
1099,14.157582343314356,18
1100,8.074355453588055,18
1101,11.480063259400739,18
1102,12.983335907855569,18
1103,13.065126855770085,18
1104,14.137813822584803,18
1105,10.678652883653005,18
1106,14.00677414735404,18
1107,12.63152622150767,18
1108,14.744079826719778,18
1109,10.982922303789763,18
1110,13.528299647068879,18
1111,13.891484831669556,18
1112,13.340756384382946,18
1113,11.506288696253856,18
1114,11.748213758443729,18
1115,14.529937316116637,18
1116,13.285610951405824,18
1117,15.010582226372854,18
1118,14.981797448416083,18
1119,13.067251309176461,18
1120,12.467026110645117,18
1121,12.898864260044212,18
1122,12.51392486125924,18
1123,13.728913685019515,18
1124,12.320435581398328,18
1125,13.05470715611548,18
1126,11.632104182530204,18
1127,12.207541435851823,18
1128,13.791890715167684,18
1129,12.866437373465562,18
1130,14.096882783091207,18
1131,14.13811650354272,18
1132,14.244045916679596,18
1133,12.873080348712447,18
1134,14.454930475913933,18
1135,14.048571202519204,18
1136,14.03265755465394,18
1137,13.443009996837,18
1138,10.230808126313624,18
1139,10.924668147030593,18
1140,14.38898864419558,18
1141,14.545272740984135,18
1142,13.269921192707239,18
1143,13.094207054724114,18
1144,13.77084607895241,18
1145,12.826547448788409,18
1146,13.823946248543356,18
1147,12.934765151749282,18
1148,13.380434307868356,18
1149,13.630445333038887,18
1150,13.565055716684187,18
1151,13.394294213394561,18
1152,14.817351153760677,18
1153,14.630799881617573,18
1154,17.10101072596479,18
1155,15.707104370229459,18
1156,14.776720651288969,18
1157,12.149925454729619,18
1158,14.85124800993134,18
1159,12.762545783457165,18
1160,12.982737035692926,18
1161,11.440810694397962,18
1162,13.600799059233896,18
1163,12.901908288668654,18
2069,15.303250818645108,5
2070,15.380303634571417,5
2071,10.853845917452038,5
2072,20.022958461588974,5
2073,20.139659478938103,5
2074,20.24959539090059,5
2075,19.9349886376584,5
2076,18.88634930544345,5
2077,17.911475040592684,5
2078,16.443111785900335,5
2079,14.825002167307089,5
2080,15.82733623601876,5
2081,18.03551043219395,5
2082,18.50876902305349,5
2083,18.043202589756845,5
2084,16.727287227960623,5
2085,15.381311859312694,5
2086,15.756765077391568,5
2087,18.383198297244256,5
2088,19.607258788906883,5
2089,19.513927646773556,5
2090,19.933296260141073,5
2091,16.089033643304713,5
2092,19.947092639406854,5
2093,13.716991410623416,5
2094,13.672848192332129,5
2095,14.291029024494582,5
2096,14.670906982863047,5
2097,15.66652017409775,5
2098,16.911950725017128,5
2099,14.08535824263305,5
2100,14.08167098696854,5
2101,15.309504188962944,5
2102,15.803024275532652,5
2103,19.758386582283364,5
2104,19.920901202545256,5
2105,20.026993527264423,5
2106,20.092789062429052,5
2107,19.4890892533724,5
2108,16.120141109388413,5
2109,20.028874562646475,5
2110,14.505473565129773,5
2111,13.513169394652202,5
2112,15.527335796395564,5
2113,20.194961703090502,5
2114,20.038208012094266,5
2115,18.84151468904806,5
2116,10.784775714169985,5
2117,19.60712761856648,5
2118,19.956964676870626,5
2119,19.624831374158624,5
2120,19.364587998950192,5
