region,R2_train,R2_valid,MAE_train,MAE_valid,RMSE_train,RMSE_valid,best_iterations
18,0.999983711655112,0.9017637397395603,0.007065205088705387,0.47587652373938083,6.880692815046856e-05,0.5397919609553081,2991
5,0.9996173724474062,0.9296569807490126,0.040646382907688024,0.4253394641109129,0.0023713147980632225,0.5048798877089307,2997
4,0.9999981945781938,0.8332813178627969,0.0030720960306941506,0.7435964879526081,1.3077189985678924e-05,1.2830969840288327,2196
10,0.9988717494434298,0.9497038321063085,0.07942961232981795,0.3810493640175195,0.009270531886433874,0.4045852088141695,2993
22,0.9999999997428883,0.562962273013593,3.9648356926713646e-05,1.190930552187339,1.913873782943002e-09,3.673909092163788,1652
9,0.9891688610558719,0.941368047323093,0.14576206171627548,0.26590441348576227,0.03568258003766189,0.18951819121108837,2985
21,0.999565105917058,0.9288410513425799,0.045766827364376476,0.4630631575458331,0.003003641618194113,0.5259555952913473,2999
20,0.9999999855852545,0.8670765017637315,0.00025991641415161834,0.7266109177087162,8.97474633559497e-08,0.8425518397759276,2980
12,0.9978162596202879,0.9449849431469369,0.08814594231767933,0.35391039311463623,0.011796708016738055,0.31109803721251794,2995
8,0.999930838038142,0.8425033861570852,0.014797919877676246,0.6135224620758596,0.00028996729289002535,0.6860893658480051,1482
3,0.9969287090494552,0.958966224156351,0.1224525324954823,0.396598754311822,0.02261248971847937,0.3142625158120584,2999
17,0.9998932972400374,0.9159896583911016,0.021920482723051322,0.48156234980391094,0.0006653859551225256,0.45532401878900913,1635
14,0.9920948309432799,0.9129610719506907,0.17191505227860224,0.40141969959857465,0.04805614804499356,0.5340727193836805,2998
11,0.9968804890549243,0.8906362804899048,0.09949072006217752,0.4693506528445379,0.014823480915314253,0.4905293052955904,1061
13,0.9998371056114936,0.8779386860135989,0.03271312052799361,0.7265044905145343,0.0015192855832984672,1.2692319826674545,2249
19,0.9999511826493811,0.7991042339931259,0.012413354567121787,0.7109177498809589,0.00020654440440311662,0.9866514061707435,1539
1,0.9997315978106086,0.7719420882757426,0.019290269418419926,0.3375528071183224,0.000507892596445965,0.5023319641749209,2999
7,0.9999956525033745,0.910869923504599,0.0038239921714137925,0.26166595648663926,1.9478077657852204e-05,0.34052894191758276,1770
6,0.9996056946865489,0.9457928388068827,0.05320084201246914,0.5020848584277549,0.004042070132930286,0.6054574832804027,2997
16,0.9998361459846329,0.902882179535203,0.025773985361743263,0.41048519816928947,0.0008947990055746543,0.317291210326279,875
15,0.9999763820404555,0.9230955896627853,0.009570532458328488,0.4735978229268474,0.00013016691728627575,0.4919126890962617,2986
2,0.9999850190393068,0.7009330637216795,0.004353238810917607,0.19609206994450978,2.528543364321581e-05,0.27929926531848814,763
