region,R2_train,MAE_train,RMSE_train,R2_valid,MAE_valid,RMSE_valid,best_iterations,used_ohe,n_train,n_score,id_col
18,0.9968697044209746,0.09130816935736037,0.014023026793894304,,,,5000,False,977,187,SamplingOperations_code
5,0.996590665344735,0.10992737292662863,0.021801781409929867,,,,5000,False,2069,244,SamplingOperations_code
4,0.9974407734325715,0.09815801503561439,0.01885395423855723,,,,5000,False,494,102,SamplingOperations_code
10,0.9887365543809676,0.19379240134490297,0.09216810035700031,,,,5000,False,3389,537,SamplingOperations_code
22,0.9933936295974539,0.17050037548121658,0.050852738034916474,,,,12000,False,120,32,SamplingOperations_code
9,0.9777402008446153,0.1782095501530564,0.07305704553516025,,,,5000,False,9136,1118,SamplingOperations_code
21,0.9948936217128821,0.1426662165391643,0.035781690685541975,,,,5000,False,2332,331,SamplingOperations_code
20,0.9983947477925442,0.0754046759281786,0.010030760785285503,,,,5000,False,448,60,SamplingOperations_code
12,0.989679346264793,0.17047995657422726,0.05628071422483425,,,,5000,False,4188,489,SamplingOperations_code
8,0.9957623149501567,0.09587066527954206,0.018063796370059646,,,,5000,False,469,79,SamplingOperations_code
3,0.9914441765458639,0.18581884197728027,0.0635073878887895,,,,5000,False,4430,566,SamplingOperations_code
17,0.9973428921558929,0.08587239213483286,0.01613428705989964,,,,5000,False,716,87,SamplingOperations_code
14,0.9816598924467164,0.22588749954050724,0.11170060177929618,,,,5000,False,6916,826,SamplingOperations_code
11,0.9957385329830383,0.10537165511653597,0.02003193850830101,,,,5000,False,1141,148,SamplingOperations_code
13,0.9930267837518105,0.18943643166068486,0.06662355428002546,,,,5000,False,888,115,SamplingOperations_code
19,0.9953968798091538,0.09896547932902354,0.02014092861860028,,,,5000,False,440,60,SamplingOperations_code
1,0.9956736959436506,0.066120124043857,0.008457619789139299,,,,5000,False,1313,172,SamplingOperations_code
7,0.9971615620279911,0.06087612720178021,0.012361798254524313,,,,5000,False,466,58,SamplingOperations_code
6,0.9953937147691326,0.16528600515577174,0.0480677054631302,,,,5000,False,1898,236,SamplingOperations_code
16,0.9988575521694958,0.04872970328756133,0.005753453030216918,,,,5000,False,331,48,SamplingOperations_code
15,0.9976939206814446,0.08731017820780597,0.013148357954286708,,,,5000,False,1099,124,SamplingOperations_code
2,0.9946933301068296,0.05807601101246545,0.00815175964235085,,,,10000,False,308,44,SamplingOperations_code
