region,R2_train,R2_valid,MAE_train,MAE_valid,RMSE_train,RMSE_valid,best_iterations
18,0.9999248806203384,0.8352991979730503,0.014856628159985025,0.6332372326203195,0.0003173271314327842,0.9050035970561199,1890
5,0.9996559431809899,0.9034862786643254,0.038122220570892575,0.511999554985827,0.0021322746382547593,0.6927174481445416,2930
4,0.9999999997829581,0.8219162877388958,3.359992996278222e-05,0.7565628007058873,1.5720970990641048e-09,1.3705643013590734,2991
10,0.9984486965298267,0.9147985382089033,0.09207299119468766,0.5155015667690702,0.012746644087191932,0.685365359899455,2984
22,0.9999999999982644,0.5510876611485409,2.963924361794786e-06,1.3493750994152984,1.2919832189222949e-11,3.773731697406029,1335
9,0.9699894168133139,0.8558243877974678,0.23785824195765157,0.4199191777390363,0.09886818385949897,0.46602407038947374,2999
21,0.9992635133111907,0.8821167052850745,0.059056270278067126,0.6273559282020855,0.005086622597366428,0.871308241851445,2888
20,0.9974806766906598,0.8266026735494273,0.10317159046762005,0.8342902869635811,0.015685526807465208,1.0991001467135213,545
12,0.9933932277599763,0.8829904997768302,0.15064261482524524,0.5348115586005482,0.035690214721826215,0.6616629689553636,2983
8,0.9999999185885993,0.7595600545346815,0.0004998294965582061,0.6791627895798675,3.41324087138316e-07,1.0474084850697913,2387
3,0.9912390093661003,0.9039851715784503,0.20353856623737868,0.6030538819901209,0.06450310759311412,0.7353420667401116,2941
17,0.9996479445360517,0.8961225137900525,0.038912831526040005,0.5399320203818098,0.002195376775797968,0.5630010969721305,1083
14,0.9838530864446313,0.8606260855624003,0.2440077689649648,0.5495453900620415,0.09815836482673045,0.8552013123675868,2998
11,0.9998688876822173,0.8725142218029136,0.020666643726787205,0.5158178336105915,0.0006230274471334338,0.571812210614435,2192
13,0.9999488796416899,0.7619051606102133,0.018365908338104826,0.9644189121813413,0.00047679004848356595,2.4757851213633186,2559
19,0.9998864567488752,0.728287106465834,0.01809392152656668,0.8110150194480923,0.0004803972948192364,1.334452755321052,1114
1,0.9998021866863441,0.715876004139687,0.016048010160774114,0.3785904614812426,0.00037431854677516904,0.6258259747739209,2563
7,0.9987962431348705,0.8599785355021018,0.05723941915553629,0.32564339836173034,0.005393188706084968,0.5349637633675763,472
6,0.9996006811472444,0.8928189169209826,0.052850466211030886,0.7313759703639195,0.004093464513862573,1.1971405140568245,2967
16,0.9997892068578366,0.8810040521926297,0.028777496362553053,0.4210579445253098,0.0011511313504716752,0.38876869479797543,618
15,0.9999949816600576,0.88064235405137,0.004332854410618424,0.5988544319014957,2.76578439790917e-05,0.7634612933814805,2998
2,0.9993418540102185,0.5866811375466314,0.026409244507910566,0.2430601109704085,0.0011108437631613245,0.3859993888393852,408
