region,R2_train,R2_valid,MAE_train,MAE_valid,RMSE_train,RMSE_valid,best_iterations
18,0.9999972799538555,0.8789665458230915,0.0028529719228592445,0.5384522210380125,1.1490303092174133e-05,0.6650587613793529,2770
5,0.9998789458410358,0.9276461511370814,0.022637594515774476,0.44874635435740823,0.0007502269937777214,0.5193124133452162,2996
4,0.9999999979672122,0.8167990933386318,0.0001027029721387291,0.8169171898693502,1.4724067478604246e-08,1.409947150464518,2641
10,0.999443170952693,0.9433177013339666,0.05529524314526708,0.41537702297658774,0.00457531477231909,0.4559556046165614,2999
22,0.999999999945327,0.5203724099115605,1.8169017833469248e-05,1.3912985581157937,4.069719248468185e-10,4.031936044124012,1255
9,0.9929715267619342,0.9393198087226712,0.11954875337375322,0.27009196087094484,0.023154911053542376,0.19613878726832257,2996
21,0.9998088354153156,0.9086628607895706,0.030042856365023022,0.5238558590229094,0.0013202982634265136,0.6750982178911203,2999
20,0.9999992922812717,0.8666213717142065,0.0018310145495129158,0.7133292370700768,4.406318571092523e-06,0.8454367372218482,1638
12,0.9988288777761746,0.9470463732324567,0.06483023533035223,0.3642782238443059,0.006326478666938678,0.29944110381755923,2999
8,0.9999999928189969,0.7699140366006656,0.00015001277084716,0.6736068006943824,3.010695462074741e-08,1.0023042963744209,2906
3,0.9984665144549145,0.9576902480887847,0.08652829913464467,0.4004175408306558,0.01129034229581262,0.3240347446860786,2999
17,0.999942889382172,0.9037402839901783,0.016015384713788834,0.5283739084556096,0.00035613514593668845,0.5217138735743265,1434
14,0.9945708750113168,0.91558257752243,0.14272683953460036,0.40849866021438297,0.03300408028455037,0.5179871052687514,2990
11,0.9999945845850357,0.8947369371822234,0.004248318953619298,0.4832951024835251,2.573329659238869e-05,0.4721366218028435,2969
13,0.9985803989826524,0.8513845980266873,0.09480978024581474,0.7840796981663216,0.013240353946306216,1.545349752031373,1032
19,0.9999995328199859,0.7575413189383197,0.0011986821741298836,0.7679674845438413,1.9766213557605804e-06,1.1907777021026182,1956
1,0.9999662401619372,0.7624876370829043,0.006728131289404075,0.3615973878055595,6.388312944901113e-05,0.5231568195898765,2999
7,0.999899379669749,0.8789596567620374,0.01775003826937453,0.28493048842642493,0.0004508090000835039,0.4624447956609941,769
6,0.9998743960571197,0.933356808255419,0.029775694658940522,0.5580423404189052,0.0012875807877183296,0.7443595691664912,2951
16,0.9981648608536626,0.9168094580691103,0.08489317573545405,0.3833742576649287,0.01002160782910661,0.27178974580178983,443
15,0.9999978453797166,0.9122613472311403,0.0028611189142401356,0.5172105736392403,1.187487342777885e-05,0.5612130231798628,2981
2,0.9993162531644584,0.678722880705267,0.02530328139703829,0.21133688774124615,0.001154053841602608,0.3000414037717346,301
